What is the capital of France?,Paris,Paris,Rome,Berlin
Who wrote the play Romeo and Juliet?,William Shakespeare,William Shakespeare,Mark Twain,Leo Tolstoy
What is the chemical symbol for water?,H2O,H2O,CO2,NaCl
Which planet is known as the Red Planet?,Mars,Mars,Venus,Earth
What is the largest mammal on Earth?,Blue Whale,Blue Whale,Gray Whale,Orca
What is the currency of Japan?,Japanese Yen,Japanese Yen,Chinese Yuan,Indian Rupee
Who is the author of To Kill a Mockingbird?,Harper Lee,Harper Lee,Mark Twain,J.K. Rowling
What is the largest organ in the human body?,Skin,Skin,Heart,Liver
Which gas do plants absorb from the atmosphere?,Carbon dioxide (CO2),Carbon dioxide (CO2),Oxygen (O2),Nitrogen (N2)
Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh
What is the boiling point of water in Celsius?,100°C,100°C,0°C,50°C
Which gas makes up the majority of Earth's atmosphere?,Nitrogen (N2),Nitrogen (N2),Oxygen (O2),Carbon dioxide (CO2)
Who is known as the father of modern physics?,Albert Einstein,Albert Einstein,Isaac Newton,Galileo Galilei
What is the chemical symbol for gold?,Au,Au,Ag,Fe
What is the largest planet in our solar system?,Jupiter,Jupiter,Earth,Saturn
Who wrote the novel 1984?,George Orwell,George Orwell,Aldous Huxley,Ray Bradbury
What is the smallest prime number?,2,2,3,1
How many continents are there on Earth?,7,7,6,8
What is the national flower of Japan?,Cherry Blossom,Cherry Blossom,Rose,Lotus
Who is the lead singer of the band Queen?,Freddie Mercury,Freddie Mercury,John Lennon,Mick Jagger
What is the largest desert in the world?,Sahara Desert,Sahara Desert,Arabian Desert,Kalahari Desert
What is the freezing point of water in Fahrenheit?,32°F,32°F,0°F,50°F
What is the chemical symbol for oxygen?,O2,O2,H2O,N2
What is the tallest mountain in the world?,Mount Everest,Mount Everest,K2,Makalu
Who wrote Pride and Prejudice?,Jane Austen,Jane Austen,Emily Brontë,Charles Dickens
What gas do plants release during photosynthesis?,Oxygen (O2),Oxygen (O2),Carbon dioxide (CO2),Nitrogen (N2)
